CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,PoP6h,PoP12h,get_day
臺北市,大同區,6300600,2021-02-20,12:00:00,22,8,39,東北風,1,<= 1,21,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-20,15:00:00,22,7,38,偏東風,2,2,22,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-20,18:00:00,19,10,59,偏東風,3,2,18,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-20,21:00:00,18,14,78,偏東風,3,2,17,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,00:00:00,17,12,72,偏東風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,03:00:00,16,11,73,偏北風,1,<= 1,16,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,06:00:00,15,12,84,偏北風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,09:00:00,18,13,76,西北風,2,2,18,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,12:00:00,23,12,51,西北風,1,<= 1,23,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,15:00:00,23,13,52,西北風,2,2,24,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,18:00:00,20,13,64,西北風,1,<= 1,20,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-21,21:00:00,19,15,76,偏北風,2,<= 1,20,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,00:00:00,18,14,78,東北風,2,<= 1,19,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,03:00:00,18,14,80,東北風,2,2,18,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,06:00:00,17,12,72,偏東風,3,2,16,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,09:00:00,19,10,54,偏西風,2,2,18,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,12:00:00,25,9,37,西北風,1,<= 1,24,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,15:00:00,25,11,42,東北風,2,2,25,晴,01,0,0,2021-02-20
臺北市,大同區,6300600,2021-02-22,18:00:00,22,15,65,偏東風,3,2,22,晴,01,0,40,2021-02-20
臺北市,大同區,6300600,2021-02-22,21:00:00,20,18,83,偏東風,4,3,21,晴,01,0,40,2021-02-20
臺北市,大同區,6300600,2021-02-23,00:00:00,20,17,83,偏東風,4,3,20,短暫雨,08,40,40,2021-02-20
臺北市,大同區,6300600,2021-02-23,03:00:00,19,16,85,偏東風,4,3,18,短暫雨,08,40,40,2021-02-20
臺北市,萬華區,6300700,2021-02-20,06:00:00,12,4,61,偏南風,2,<= 1,10,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-20,09:00:00,15,5,51,東北風,1,<= 1,14,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-20,12:00:00,23,7,37,東北風,1,<= 1,22,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-20,15:00:00,23,7,36,偏東風,3,2,23,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-20,18:00:00,19,10,56,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-20,21:00:00,18,14,77,偏東風,2,2,17,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,00:00:00,17,12,72,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,03:00:00,16,10,70,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,06:00:00,15,12,82,偏北風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,09:00:00,18,13,74,西北風,2,2,18,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,12:00:00,24,13,50,西北風,1,<= 1,24,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,15:00:00,24,13,51,偏西風,3,2,25,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,18:00:00,21,13,61,偏西風,1,<= 1,20,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-21,21:00:00,19,14,69,偏西風,2,<= 1,20,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,00:00:00,18,14,73,東北風,2,<= 1,19,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,03:00:00,18,13,76,偏東風,2,2,18,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,06:00:00,17,11,70,偏東風,2,2,16,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,09:00:00,19,9,53,西北風,2,<= 1,18,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,12:00:00,26,9,35,西北風,1,<= 1,25,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,15:00:00,26,11,41,東北風,2,2,26,晴,01,0,0,2021-02-20
臺北市,萬華區,6300700,2021-02-22,18:00:00,22,15,64,偏東風,3,2,22,晴,01,0,40,2021-02-20
臺北市,萬華區,6300700,2021-02-22,21:00:00,21,18,84,偏東風,3,2,21,晴,01,0,40,2021-02-20
臺北市,萬華區,6300700,2021-02-23,00:00:00,20,17,83,偏東風,4,3,20,短暫雨,08,40,40,2021-02-20
臺北市,萬華區,6300700,2021-02-23,03:00:00,19,17,86,偏東風,4,3,18,短暫雨,08,40,40,2021-02-20
臺北市,文山區,6300800,2021-02-20,06:00:00,9,6,73,西南風,2,<= 1,8,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-20,09:00:00,14,5,57,東北風,2,2,12,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-20,12:00:00,22,8,40,偏東風,1,<= 1,21,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-20,15:00:00,23,11,47,東南風,3,2,23,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-20,18:00:00,18,11,62,東南風,3,2,17,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-20,21:00:00,16,12,78,東南風,3,2,15,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,00:00:00,15,13,86,偏南風,2,<= 1,14,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,03:00:00,14,12,87,偏南風,1,<= 1,14,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,06:00:00,13,11,87,東北風,1,<= 1,13,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,09:00:00,16,11,72,偏東風,1,<= 1,16,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,12:00:00,24,13,53,偏南風,0,<= 1,24,多雲,04,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,15:00:00,24,14,55,西南風,2,2,25,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,18:00:00,20,13,67,偏南風,1,<= 1,20,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-21,21:00:00,18,15,85,偏南風,2,<= 1,18,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,00:00:00,17,15,89,東南風,1,<= 1,17,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,03:00:00,16,14,88,東南風,2,2,16,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,06:00:00,15,12,81,東南風,2,2,14,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,09:00:00,18,10,60,偏北風,0,<= 1,17,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,12:00:00,25,11,41,西北風,1,<= 1,26,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,15:00:00,26,13,46,偏東風,3,2,26,晴,01,0,0,2021-02-20
臺北市,文山區,6300800,2021-02-22,18:00:00,21,15,66,東南風,3,2,21,晴,01,0,30,2021-02-20
臺北市,文山區,6300800,2021-02-22,21:00:00,19,17,87,偏東風,3,2,20,晴,01,0,30,2021-02-20
臺北市,文山區,6300800,2021-02-23,00:00:00,18,16,88,偏東風,3,2,18,短暫雨,08,30,30,2021-02-20
臺北市,文山區,6300800,2021-02-23,03:00:00,18,16,92,偏東風,3,2,18,短暫雨,08,30,30,2021-02-20
臺北市,南港區,6300900,2021-02-20,06:00:00,11,10,89,偏南風,2,2,10,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-20,09:00:00,15,10,72,偏東風,2,<= 1,14,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-20,12:00:00,23,10,44,偏東風,1,<= 1,22,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-20,15:00:00,22,12,51,東南風,3,2,23,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-20,18:00:00,19,13,70,東南風,3,2,18,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-20,21:00:00,17,14,83,東南風,3,2,16,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,00:00:00,16,13,82,東南風,2,<= 1,16,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,03:00:00,15,14,89,偏南風,1,<= 1,15,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,06:00:00,14,13,93,西北風,2,<= 1,15,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,09:00:00,18,14,80,東北風,1,<= 1,18,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,12:00:00,24,14,55,偏北風,0,<= 1,25,多雲,04,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,15:00:00,24,16,63,偏西風,1,<= 1,26,晴,01,0,0,2021-02-20
臺北市,南港區,6300900,2021-02-21,18:00:00,20,16,78,西南風,1,<= 1,21,晴,01,0,0,2021-02-20
